date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:36:26	92543/92543	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:90666a22b78118ec4349d9cfb68f672c	https://hiking-camping-demo.myshopify.com/collections/hook-keychain	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/hook-keychain	(from https://hiking-camping-demo.myshopify.com/collections/new-arrivals)
14:36:28	92543/92543	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:90666a22b78118ec4349d9cfb68f672c	https://hiking-camping-demo.myshopify.com/collections/teton-backpacks	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/teton-backpacks	(from https://hiking-camping-demo.myshopify.com/collections/new-arrivals)
14:36:29	17349/17349	---MCZ	200	added ('OK')	application/atom+xml	etag:cacheable:258a9bc24a41ed315d04d655c810fd22	https://hiking-camping-demo.myshopify.com/collections/best-selling.atom	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/best-selling.atom	(from https://hiking-camping-demo.myshopify.com/collections/best-selling)
14:36:31	7020/7020	---MCZ	200	added ('OK')	application/json+oembed	etag:cacheable:ff5f5f7020a1d069cd7c3e2f79d5f469	https://hiking-camping-demo.myshopify.com/collections/best-selling.oembed	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/best-selling.oembed	(from https://hiking-camping-demo.myshopify.com/collections/best-selling)
14:36:32	126/126	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Aug%202021%2009:06:32%20GMT	https://hiking-camping-demo.myshopify.com/collections/best-selling/products/dome-tent	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/best-selling/products/dome-tent	(from https://hiking-camping-demo.myshopify.com/collections/best-selling)
14:36:32	126/126	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Aug%202021%2009:06:32%20GMT	https://hiking-camping-demo.myshopify.com/collections/best-selling/products/dome-tent	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/best-selling/products/dome-tent	(from https://hiking-camping-demo.myshopify.com/collections/best-selling)
14:36:33	131/131	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Aug%202021%2009:06:33%20GMT	https://hiking-camping-demo.myshopify.com/collections/best-selling/products/forclaz-flex-3	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/best-selling/products/forclaz-flex-3	(from https://hiking-camping-demo.myshopify.com/collections/best-selling)
14:36:33	133872/133872	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Aug%202021%2009:06:12%20GMT	http://cdn.shopify.com/s/files/1/1628/5651/articles/blog-7_1024x1024.jpg?v=1480500940	C:/My%20Web%20Sites/222222/cdn.shopify.com/s/files/1/1628/5651/articles/blog-7_1024x10243bfd.jpg	(from https://hiking-camping-demo.myshopify.com/blogs/news/dolore-magna-aliqua-1)
14:36:34	131/131	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Aug%202021%2009:06:34%20GMT	https://hiking-camping-demo.myshopify.com/collections/best-selling/products/forclaz-flex-3	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/best-selling/products/forclaz-flex-3	(from https://hiking-camping-demo.myshopify.com/collections/best-selling)
14:36:34	218238/218238	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Aug%202021%2009:06:09%20GMT	http://cdn.shopify.com/s/files/1/1628/5651/articles/blog-12_1024x1024.jpg?v=1480501064	C:/My%20Web%20Sites/222222/cdn.shopify.com/s/files/1/1628/5651/articles/blog-12_1024x102490a0.jpg	(from https://hiking-camping-demo.myshopify.com/blogs/news/mirum-est-notare-quam-littera-2)
14:36:34	132/132	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Aug%202021%2009:06:34%20GMT	https://hiking-camping-demo.myshopify.com/collections/best-selling/products/waterproof-boot	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/best-selling/products/waterproof-boot	(from https://hiking-camping-demo.myshopify.com/collections/best-selling)
14:36:35	132/132	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Aug%202021%2009:06:35%20GMT	https://hiking-camping-demo.myshopify.com/collections/best-selling/products/waterproof-boot	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/best-selling/products/waterproof-boot	(from https://hiking-camping-demo.myshopify.com/collections/best-selling)
14:36:35	177030/177030	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Aug%202021%2009:06:12%20GMT	http://cdn.shopify.com/s/files/1/1628/5651/articles/blog-8_1024x1024.jpg?v=1480500987	C:/My%20Web%20Sites/222222/cdn.shopify.com/s/files/1/1628/5651/articles/blog-8_1024x10245e8f.jpg	(from https://hiking-camping-demo.myshopify.com/blogs/news/mirum-est-notare-quam-littera-1)
14:36:35	132/132	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Aug%202021%2009:06:35%20GMT	https://hiking-camping-demo.myshopify.com/collections/best-selling/products/gtx-hiking-boot	C:/My%20Web%20Sites/222222/hiking-camping-demo.myshopify.com/collections/best-selling/products/gtx-hiking-boot	(from https://hiking-camping-demo.myshopify.com/collections/best-selling)
